station_name,state,latitude,longitude,avg,avg_2,avg_3
Salmon Meadows WA US,WA,48.66,-119.84,34.12011173,52.22067039,42.79608939
Soldier RANGER STATION ID US,ID,43.48,-114.83,33.32960894,57.98044693,44.9273743
SHIP MOUNTAIN CALIFORNIA CA US,CA,41.7358,-123.7917,44.79888268,56.83798883,50.46368715
JACKSON CO AIRPORT KENTUCKY KY US,KY,37.5922,-83.3178,48.20391061,66.81564246,57.03351955
BUTTE BERT MOONEY AIRPORT MT US,MT,45.9647,-112.5006,28.02793296,55.44413408,41.76536313
Fry AZ US,AZ,35.07,-111.84,36.70670391,61.19553073,48.21787709
Windy Peak WY US,WY,42.28,-105.58,32.49441341,51.96648045,42.01396648
SEVEN MILE ALASKA AK US,AK,65.9383,-149.855,17.86592179,35.38268156,27.22346369
Spruce Springs WA US,WA,46.18,-117.54,38.0252809,53.79494382,44.94101124
PINTO COLORADO CO US,CO,40.0097,-108.4597,36.06703911,60.9273743,48.06145251
RACCOON POINT FLORIDA FL US,FL,25.9708,-80.9,67.82402235,86.56703911,76.22067039
NORTH FORK IDAHO ID US,ID,43.7897,-114.4208,28.5,59.34916201,42.25418994
Santa Fe NM US,NM,35.77,-105.78,30.96927374,45.75977654,37.31564246
CASPER NATRONA CO INTERNATIONAL AIRPORT WY US,WY,42.8977,-106.4739,32.82681564,61.01117318,47.24301676
Telaquana Lake AK US,AK,60.98,-153.92,26.88352273,44.13352273,34.94318182
VICTORIA REGIONAL AIRPORT TX US,TX,28.8614,-96.9303,60.68994413,80.48044693,69.71787709
Rainbow Canyon NV US,NV,36.25,-115.63,42.33240223,57.48044693,49.41061453
Ragged Mountain ID US,ID,47.86,-117.04,40.48863636,53.08238636,46.65056818
Wolf Creek OR US,OR,45.07,-118.15,37.77932961,52.80446927,44.16201117
BEVERLY HILLS CALIFORNIA CA US,CA,34.125,-118.4122,56.21787709,84.27653631,67.72346369
FORT WAYNE INTERNATIONAL AIRPORT IN US,IN,40.9705,-85.2063,41.35365854,60.625,51.08231707
SQUAW SPRINGS CALIFORNIA CA US,CA,35.37,-117.5683,55.95251397,75.76815642,65.55865922
PIERRE REGIONAL AIRPORT SD US,SD,44.3813,-100.2855,36.01675978,61.30167598,48.67318436
Brian Head UT US,UT,37.68,-112.86,31.89106145,48.70670391,39.30726257
Pole Canyon NV US,NV,40.86,-115.12,36.91340782,55.64804469,45.87150838
WILMINGTON INTERNATIONAL AIRPORT NC US,NC,34.2675,-77.8997,63.38164251,81.41545894,71.62318841
Skate Creek WA US,WA,46.64,-121.83,39.46927374,54.60055866,46.05307263
RUBY LAKE NWR NEVADA NV US,NV,40.1731,-115.4855,31.00837989,63.57821229,47.64804469
Whiskey Ck CO US,CO,37.21,-105.12,30.57983193,50.82913165,39.76470588
EAGLE ALASKA AK US,AK,64.7761,-141.1619,16.83753501,40.18487395,29.53221289
PAXSON ALASKA AK US,AK,62.9453,-145.5014,17.54061625,38.94957983,28.27170868
Dome Lake WY US,WY,44.57,-107.3,28.18435754,47.44413408,37.61452514
NEMO SOUTH DAKOTA SD US,SD,44.1917,-103.5097,29.22346369,58.72905028,43.80167598
BIG BAR CALIFORNIA CA US,CA,40.7333,-123.2333,45.61173184,75.56424581,58.21787709
Crow Creek WY US,WY,41.23,-105.38,34.12680115,53.08933718,43.25936599
BARNHART TEXAS TX US,TX,30.9856,-101.1578,51.34929577,77.36901408,63.54366197
HAIDA ALASKA AK US,AK,55.3503,-132.6983,38.41899441,52.97765363,44.98324022
Lasal Mountain Lower UT US,UT,38.48,-109.29,35.73463687,53.73463687,43.77374302
Upper Chena AK US,AK,65.1,-144.93,20.40616246,36.01120448,28.22408964
Lamance Creek NV US,NV,41.52,-117.63,42.55586592,59.01117318,50.37430168
KLAWASI ALASKA AK US,AK,62.1472,-144.9281,23.4972067,39.53351955,31.5726257
Howard Prairie OR US,OR,42.22,-122.37,38.12011173,58.01675978,47.53910615
Moon Pass CO US,CO,37.97,-106.56,29.31564246,48.08379888,37.63128492
Medano Pass CO US,CO,37.85,-105.44,30.64325843,53.11797753,41.27808989
MOSS BASIN ARIZONA AZ US,AZ,35.0336,-113.8925,44.31284916,67.57821229,55.93296089
SHILOH NMP TENNESSEE TN US,TN,35.155,-88.3217,51.90196078,73.07843137,61.67507003
TAYLOR PARK COLORADO CO US,CO,38.9078,-106.6017,24.44413408,51.04469274,36.50558659
TALLGRASS PRAIRIE KANSAS KS US,KS,38.435,-96.5608,46.00282486,68.32768362,56.71468927
MCFARLAND HILL MAINE ME US,ME,44.3769,-68.2608,37.05586592,54.3575419,45.36312849
FORT HOWES MONTANA MT US,MT,45.2969,-106.1614,33.51675978,62.40502793,48.13687151
RENDEZVOUS MOUNTAIN NORTH CAROLINA NC US,NC,36.2275,-81.2975,49.02513966,68.85195531,57.63128492
MIDLAND INTERNATIONAL AIRPORT TX US,TX,31.9475,-102.2086,52.53910615,77.15363128,64.44692737
RIFLE COLORADO CO US,CO,39.5122,-107.7492,39.01117318,62.19273743,49.96648045
CAMDEN TOWER TENNESSEE TN US,TN,36.0661,-88.1686,51.19832402,70.70670391,60.48324022
KYLE CANYON NEVADA NV US,NV,36.2667,-115.6,42.46927374,63.03910615,52.34916201
TWIN BUTTES IDAHO ID US,ID,42.6906,-115.1953,43.57541899,66.42178771,54.71787709
BRADLEY CALIFORNIA CA US,CA,35.8644,-120.8031,45.28212291,80.04469274,60.26256983
STORM KING MOUNTAIN COLORADO CO US,CO,39.5625,-107.42,34.76106195,55.50442478,43.71976401
Payson RANGER STATION UT US,UT,39.93,-111.63,35.5698324,53.7122905,43.86312849
LINES CREEK IDAHO ID US,ID,47.1083,-116.2278,37.48603352,53.99162011,44.94413408
ARROWWOOD 2 NORTH DAKOTA ND US,ND,47.2667,-98.8667,33.20670391,53.67597765,43.44413408
Promontory AZ US,AZ,34.37,-111.01,42.56424581,59.14804469,49.67318436
LA HONDA CALIFORNIA CA US,CA,37.3053,-122.255,46.98324022,70.67597765,57.2150838
COYOTE WASH NEVADA NV US,NV,38.2833,-114.7583,38.59776536,68.03910615,53.01675978
GREENVILLE ASOS MS US,MS,33.4825,-90.98528,54.65536723,74.94632768,64.51129944
Wood Creek MT US,MT,47.45,-112.81,31.22625698,52.12011173,40.91340782
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,GA,33.6301,-84.4418,55.45530726,73.33798883,64.00558659
HEBGEN LAKE MONTANA MT US,MT,44.6678,-111.1006,23.90782123,52.70111732,37.93854749
Sun Pass OR US,OR,42.79,-121.98,35.72067039,57.46648045,46.01396648
RUTHERFORD CO NORTH CAROLI NC US,NC,35.4286,-81.9394,48.43854749,74.34357542,60.26536313
COLORADO CITY COLORADO CO US,CO,37.9478,-104.8692,38.79050279,65.86592179,52.16759777
Schweitzer Basin ID US,ID,48.37,-116.64,34.85714286,46.81792717,40.39495798
LA GRANGE TEXAS TX US,TX,29.9075,-96.86,59.27932961,79.7849162,68.82681564
GREENWATER WASHINGTON WA US,WA,47.1556,-121.6114,40.96648045,60.87988827,49.40502793
Garver Creek MT US,MT,48.98,-115.82,30.26536313,53.79888268,40.58379888
Bear Grass OR US,OR,44.33,-122.09,40.84078212,55.18435754,47.30446927
BADGER SPRING IVINS 14 W UTAH UT US,UT,37.1697,-113.9497,56.58659218,73.02793296,64.58379888
WATKINSVILLE GEORGIA GA US,GA,33.8967,-83.3656,53.03351955,73.92458101,63.02793296
CAPE COD MASSACHUSETTS MA US,MA,41.975,-70.0253,44.52234637,59.70949721,51.77932961
OAKLAND NORTH CALIFORNIA CA US,CA,37.865,-122.2208,50.93296089,65.6396648,57.29888268
Indian Canyon UT US,UT,39.89,-110.75,33.8547486,51.38826816,41.17039106
TALKEETNA AIRPORT AK US,AK,62.32,-150.095,28.5698324,46.73184358,38.09497207
Rainy Pass WA US,WA,48.52,-120.74,34.47486034,47.79050279,40.12011173
PARDEE MONTANA MT US,MT,47.2697,-114.9161,39.03351955,56.47206704,47.0027933
FRIEND MOUNTAIN CALIFORNIA CA US,CA,40.505,-123.3417,43.61731844,67.05586592,53.4301676
Bear Canyon ID US,ID,43.74,-113.94,23.63128492,51.34078212,36.85195531
Tahoe City Cross CA US,CA,39.17,-120.15,37.01396648,58.46927374,46.4301676
FORT BELKNAP MONTANA MT US,MT,48.3042,-108.7189,35.22067039,58.4301676,47.0027933
Lynx Pass CO US,CO,40.08,-106.67,25.05322129,51.84593838,38.55182073
Berthoud Summit CO US,CO,39.8,-105.78,25.62849162,46.67039106,34.5698324
Deadman Creek MT US,MT,46.79,-110.68,25.47206704,51.87988827,37.80446927
TULE VALLEY DELTA 49 W UTAH UT US,UT,39.35,-113.3847,46.98603352,67.38826816,56.89944134
BLUE DOOR CALIFORNIA CA US,CA,41.0547,-120.3375,35.93837535,60.35014006,47.89635854
KOOMER KENTUCKY KY US,KY,37.7689,-83.6333,47.25418994,67.27374302,56.47206704
Buck Pasture UT US,UT,40.84,-110.66,20.48882682,49.45251397,34.70391061
BANKHEAD ALABAMA AL US,AL,34.14,-87.3622,51.81005587,72.12849162,61.18435754
Fort Yukon AK US,AK,66.57,-145.25,17.74709302,35.81686047,27.27325581
CHICAGO OHARE INTERNATIONAL AIRPORT IL US,IL,41.995,-87.9336,41.29329609,58.76815642,50.22625698
Columbia Basin NV US,NV,41.67,-116.07,34.61971831,57.10422535,45.24788732
MOBILE REGIONAL AIRPORT AL US,AL,30.68833,-88.24556,58.70949721,78.41899441,67.69553073
Deadwood Summit ID US,ID,44.54,-115.56,25.62569832,52.48044693,38.26815642
ALPINE ARIZONA AZ US,AZ,33.8417,-109.1222,36.84357542,61.92458101,48.46648045
KISATCHIE FTS LOUISIANA LA US,LA,31.495,-93.1981,56.8658147,79.42811502,66.72523962
CORRAL CREEK COLORADO CO US,CO,39.64,-105.4647,30.69832402,56.81564246,43.39944134
Moss Springs OR US,OR,45.27,-117.69,29.32402235,52.52793296,40.71787709
SKI HILL IDAHO ID US,ID,44.9436,-116.1878,36.85195531,56.87430168,45.89106145
LADORE COLORADO CO US,CO,40.7392,-108.8347,36.96648045,63.8547486,50.22067039
BEAR RIVER UTAH UT US,UT,40.8844,-110.8292,24.29608939,55.15921788,39.02513966
Stillwater Creek CO US,CO,40.23,-105.92,28.11764706,53.96078431,39.98039216
CALVERT PEAK OREGON OR US,OR,42.7778,-123.7294,43.3575419,60.30167598,50.68715084
Sunset ID US,ID,47.56,-115.82,37.15363128,49.58379888,42.77932961
J. CLARK SALYER NORTH DAKOTA ND US,ND,48.37,-100.43,31.22905028,53.44972067,42.22067039
TUMALO RIDGE OREGON OR US,OR,44.0494,-121.4003,36.49162011,62.73743017,48.94972067
JAY COLORADO CO US,CO,38.8417,-107.7361,41.58379888,66.97206704,52.7849162
SMITH CREEK MONTANA MT US,MT,46.4394,-114.2272,37.1452514,54.52793296,45.06703911
METCALF GAP CALIFORNIA CA US,CA,37.4094,-119.7681,54.53631285,73.72067039,63.06145251
NORTH FORK CALIFORNIA CA US,CA,37.2331,-119.5047,48.24022346,75.84916201,60.73743017
BADOURA MINNESOTA MN US,MN,46.8608,-94.7258,30.29050279,53.41899441,42.51117318
Lost Wood Divide ID US,ID,43.82,-114.26,26.84078212,51.53351955,38.23184358
MOUNT ZION CALIFORNIA CA US,CA,38.3894,-120.6511,53.87988827,71.39385475,61.62569832
FISHTAIL MONTANA MT US,MT,45.4581,-109.5714,37.65921788,59.19273743,48.27653631
LOS PRIETOS CALIFORNIA CA US,CA,34.5358,-119.7833,49.03351955,81.19273743,63.27094972
WOFFORD HEIGHTS CALIFORNIA CA US,CA,35.7217,-118.4989,49.17877095,74.52234637,60.68715084
FOSTER FLAT OREGON OR US,OR,42.9736,-119.2461,28.92178771,62.12011173,46.27932961
TRIMMER CALIFORNIA CA US,CA,36.9111,-119.305,51.6452514,77.06424581,63.34078212
LAGRANDE 1 OREGON OR US,OR,45.5528,-118.0119,39.55131965,61.32258065,49.86510264
SHREVEPORT REGIONAL AIRPORT LA US,LA,32.4472,-93.8244,57.31843575,77.82402235,67.09217877
HOT SPRINGS MONTANA MT US,MT,47.6156,-114.6694,33.61173184,61.68156425,48.03910615
WANDERER S PEAK OREGON OR US,OR,45.1094,-122.1953,39.82535211,56.12676056,46.98591549
Sentinel Butte WA US,WA,48.86,-118.4,35.14233577,49.90510949,41.66423358
TILLAMOOK OREGON OR US,OR,45.4569,-123.8031,45.05865922,61.9273743,53.23463687
Schwartz Lake ID US,ID,44.85,-113.84,31.43296089,48.30446927,39.06703911
STRAWBERRY OREGON OR US,OR,42.1894,-120.8464,35.20111732,59.95810056,47.51396648
Cold Springs Camp OR US,OR,42.53,-122.18,37.89664804,55.06703911,45.08379888
Columbine Pass CO US,CO,38.42,-108.38,33.39385475,52.48324022,41.82681564
CHATANIKA ALASKA AK US,AK,65.0167,-148.5833,25.91340782,39.01675978,32.15083799
ALPINE CALIFORNIA CA US,CA,32.8336,-116.7392,54.24022346,74.86592179,63.58938547
WHITE MOUNTAIN NF NEW HAMPSHIR NH US,NH,43.9806,-71.1406,34.04748603,57.83519553,45.67039106
CADDO LAKE TEXAS TX US,TX,32.6583,-94.1164,53.25977654,77.2849162,64.52234637
MOUNT RUSHMORE SOUTH DAKOTA SD US,SD,43.875,-103.4583,39.85434174,58.68907563,49.10084034
CHATTOOGA NUMBER 1 GEORGIA GA US,GA,34.6403,-83.5219,49.81843575,70.47486034,59.90502793
Buck Flat UT US,UT,39.13,-111.44,29.2849162,50.4972067,39.27374302
LAVA POINT UTAH UT US,UT,37.3917,-113.0389,32.74581006,57.66759777,45.2849162
Spencer Meadow WA US,WA,46.18,-121.93,38.70111732,54.16759777,45.79050279
Vail Mountain CO US,CO,39.62,-106.38,31.40223464,46.94972067,38.54469274
STILLWATER MONTANA MT US,MT,48.5394,-114.5594,28.35195531,58.31005587,42.91620112
BIENVILLE MISSISSIPPI MS US,MS,32.355,-89.4692,54.70670391,77.18435754,64.84078212
TIPSAW LAKE INDIANA IN US,IN,38.125,-86.625,45.89944134,68.11452514,56.36312849
POINT 6 MONTANA MT US,MT,47.0411,-113.9792,29.55742297,41.22128852,35.17086835
Susitna Valley High AK US,AK,62.13,-150.04,25.94067797,44.06779661,34.81355932
DODGE CITY REGIONAL AIRPORT KS US,KS,37.7686,-99.9678,43.69832402,69.06703911,55.59776536
ELY MINNESOTA MN US,MN,47.8833,-91.8667,28.62011173,50.61173184,40.31284916
Ochoco Meadows OR US,OR,44.43,-120.33,37.61731844,54.91061453,45.2877095
LONGVIEW E TEXAS REGIONAL AIRPORT TX US,TX,32.38472,-94.71167,56.71629213,77.35674157,66.36235955
LAFAYETTE WORK CENTER TENNESSE TN US,TN,36.5411,-86.0028,49.30167598,69.27932961,58.67039106
BROWN MOUNTAIN ORCHARD WASHINGTON WA US,WA,48.5353,-118.6889,30.69101124,60.35393258,44.80337079
KAHULUI AIRPORT HI US,HI,20.89972,-156.42861,68.94413408,85.45251397,76.63407821
North Fork Jocko MT US,MT,47.27,-113.76,28.57541899,51.52234637,39.27653631
INDIANAPOLIS INTERNATIONAL AIRPORT IN US,IN,39.7318,-86.2788,44.34357542,62.88547486,53.50837989
SEELEY LAKE MONTANA MT US,MT,47.1828,-113.4472,27.1452514,58.05865922,42.29888268
Chalk Creek NUMBER 2 UT US,UT,40.89,-111.07,33.09776536,52.1424581,42.09217877
Rhoads Creek AK US,AK,63.93,-145.33,19.74285714,40.44571429,31.13428571
EEL RIVER CAMP CALIFORNIA CA US,CA,40.1383,-123.8236,45.6424581,73.04748603,57.17039106
SALT LAKE CITY INTERNATIONAL AIRPORT UT US,UT,40.7781,-111.9694,45.53910615,66.58379888,55.8575419
LITTLE BIGHORN MONTANA MT US,MT,45.5697,-107.4358,36.58100559,63.35195531,49.69832402
WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US,ND,48.1738,-103.6366,32.23170732,59.00304878,46.01219512
Divide Peak WY US,WY,41.3,-107.15,34.28212291,50.51675978,41.84078212
WISE RIVER MONTANA MT US,MT,45.7833,-112.9333,28.13128492,55.06145251,41.25977654
Seventysix Creek NV US,NV,41.74,-115.47,34.37709497,53.88268156,44.01396648
Sawmill Ridge WA US,WA,47.16,-121.42,38.4972067,48.84916201,43.28212291
LAS TABLAS CALIFORNIA CA US,CA,35.6564,-120.9242,41.01675978,78.05027933,58.12569832
Saint Elmo CO US,CO,38.7,-106.37,25.20760234,50.23099415,36.15497076
PANCAKE NEVADA NV US,NV,38.3036,-116.1925,35.41899441,70.26815642,53.44413408
Klondike Narrows UT US,UT,41.97,-111.6,30.68627451,53.98879552,41.78151261
Carson Pass CA US,CA,38.69,-119.99,33.44692737,52.27094972,41.46648045
South Fork Bull Run OR US,OR,45.45,-122.03,42.40502793,57.77374302,48.92178771
SENEY MICHIGAN MI US,MI,46.2403,-85.9428,31.86312849,52.11452514,42.21787709
LITTLE TUJUNGA CALIFORNIA CA US,CA,34.2936,-118.3608,54.61731844,77.70391061,65.34357542
Middle Powder WY US,WY,43.63,-107.18,32.88268156,49.22905028,40.99441341
Port Graham AK US,AK,59.35,-151.85,35.95622896,45.38383838,40.65656566
Whiskey Park CO US,CO,41,-106.91,26.70588235,50.16526611,37.2745098
WAMIC MILL OREGON OR US,OR,45.2406,-121.453,42.69187675,61.00560224,50.80112045
Med Bow WY US,WY,41.38,-106.35,26.48179272,44.34733894,34.63865546
HARBISON MEADOW COLORADO CO US,CO,40.2708,-105.8328,18.52513966,52.39944134,35.41899441
Independence Lake CA US,CA,39.43,-120.31,37.06145251,51.7877095,43.34916201
CRANE FLAT LOOKOUT CALIFORNIA CA US,CA,37.7617,-119.8247,45.18435754,60.56424581,51.99441341
Wild Basin CO US,CO,40.2,-105.6,30.8627451,49.94117647,39.86554622
STEVI MONTANA MT US,MT,46.5131,-114.0911,33.20670391,63.07821229,47.2877095
SOUTHERN ROUGH TEXAS TX US,TX,30.5403,-94.3411,56.14804469,79.55307263,66.61173184
MORMON LAKE ARIZONA AZ US,AZ,34.9067,-111.445,32.75977654,62.25418994,47.17877095
HIGHLANDS NORTH CAROLINA NC US,NC,35.0836,-83.2178,46.13392857,64.64880952,54.2202381
HOFMANN FOREST NORTH CAROLINA NC US,NC,34.825,-77.3219,51.55307263,75.49162011,62.87150838
Sagwon AK US,AK,69.42,-148.69,11.06232295,25.66572238,18.34560907
Bigelow Camp OR US,OR,42.08,-123.34,40.13128492,57.88547486,47.55586592
DILLON AIRPORT MT US,MT,45.2575,-112.5544,32.52513966,59.0698324,45.54748603
Bevans Cabin UT US,UT,40.46,-112.25,38.69553073,57.34916201,46.54748603
DESCANSO CALIFORNIA CA US,CA,32.8569,-116.6222,47.04469274,73.5698324,59.65642458
MAY CREEK ALASKA AK US,AK,61.3208,-142.5844,20.27298851,44.32183908,32.82471264
EUGENE MAHLON SWEET AIRPORT OR US,OR,44.1278,-123.2206,43.55307263,67.31005587,55.01675978
Many Glacier MT US,MT,48.8,-113.67,34.09497207,53.06703911,43.88268156
CEDAR MOUNTAINS STOCKTON 24 W UT US,UT,40.3008,-112.7764,40.10335196,66.89385475,53.40223464
PICKLE GULCH COLORADO CO US,CO,39.8744,-105.5164,32,53.01955307,41.46648045
ST PAUL ISLAND AIRPORT AK US,AK,57.15528,-170.22222,34.17039106,41.72625698,38.18715084
Huntington Horse UT US,UT,39.61,-111.3,32.95798319,47.70588235,39.8487395
TROY MONTANA MT US,MT,48.4667,-115.9167,35.94692737,62.23463687,48.13687151
PLEASANT VALLEY ARIZONA AZ US,AZ,34.0933,-110.9333,43.62290503,71.79329609,56.91899441
Skalkaho Summit MT US,MT,46.24,-113.77,29.18994413,50.36871508,38.39106145
New Crescent Lake OR US,OR,43.51,-121.98,34.89106145,58.78212291,45.22625698
Gallegos Peak NM US,NM,36.19,-105.56,34.6424581,52.20949721,42.32681564
Draw Creek NV US,NV,41.66,-115.32,35.39944134,55.02793296,44.94413408
DONIPHAN MISSOURI MO US,MO,36.6269,-90.8239,48.67877095,68.96927374,58.66480447
BARNES WISCONSIN WI US,WI,46.4,-91.5,30.74581006,53.87430168,42.87988827
ALCAN HIGHWAY MI 1244 ALASKA AK US,AK,62.8167,-141.4667,21.24719101,38.44662921,29.46067416
BOONEVILLE ARKANSAS AR US,AR,35.1428,-93.895,50.39130435,73.44347826,61.35072464
HORSE CREEK OREGON OR US,OR,44.9406,-122.4003,43.28818444,58.62536023,50.25072046
AGASSIZ MINNESOTA MN US,MN,48.5,-95.87,29.7150838,51.24301676,40.92458101
ROCHESTER GREATER INTERNATIONAL NY US,NY,43.1167,-77.6767,39.63407821,58.27094972,49.22625698
CHERRY ARIZONA AZ US,AZ,34.5964,-112.0481,41.60893855,71.53072626,56.43854749
WEIN LAKE ALASKA AK US,AK,64.315,-151.0833,27.42259414,47.20502092,36.50627615
Ben Lomond Peak UT US,UT,41.38,-111.94,38.29050279,52.26256983,44.80726257
ZORTMAN MINE MONTANA MT US,MT,47.9225,-108.5528,37.51675978,54.48324022,45.90782123
LITTLE ROCK CREEK MONTANA MT US,MT,46.0378,-114.2625,38.91061453,54.82402235,46.37150838
S Fork Shields MT US,MT,46.09,-110.43,31.01955307,46.98603352,38.70391061
Brooklyn Lake WY US,WY,41.36,-106.23,23.37606838,41.71794872,32.11538462
MAKUA RANGE HAWAII HI US,HI,21.5286,-158.2261,70.6,83.07428571,76.46857143
PEBBLE OREGON OR US,OR,44.2333,-121.9833,37.65083799,61.2877095,48.39664804
Stringer Creek MT US,MT,46.93,-110.9,26.44413408,52.12849162,37.63407821
North Lost Trail CO US,CO,39.08,-107.14,31.20111732,52.13687151,39.7849162
Bowman Springs OR US,OR,45.36,-118.47,37.5726257,56.67597765,46.13128492
Lobdell Lake CA US,CA,38.44,-119.37,30.49162011,51.85195531,40.27374302
BASQUE HILLS OREGON OR US,OR,42.2547,-118.9792,40.93296089,63.13687151,51.86871508
REINDEER RIVER ALASKA AK US,AK,61.7161,-162.665,26.25139665,39.75139665,32.9301676
CRAIG VALLEY VIRGINIA VA US,VA,37.5222,-80.0797,44.74022346,68.41899441,55.54189944
Elk River CO US,CO,40.85,-106.97,31.44817927,52.19047619,40.72268908
Banner Summit ID US,ID,44.3,-115.23,26.84078212,53.99441341,39.2150838
LAKESIDE ARIZONA AZ US,AZ,34.16,-109.98,36.36592179,64.7849162,50.44972067
Gobblers Knob AK US,AK,66.75,-150.67,23.52259887,34.07062147,28.77966102
BERING GLACIER ALASKA AK US,AK,60.1186,-143.2833,31.88690476,45.67261905,38.86904762
Dismal Swamp CA US,CA,41.99,-120.18,32.74581006,52.05307263,41.40502793
DRY LAKE COLORADO CO US,CO,40.535,-106.7808,32.67597765,52.63687151,41.9972067
Sharkstooth CO US,CO,37.5,-108.11,31.93837535,48.50420168,39.12044818
MATAGORDA ISLAND TEXAS TX US,TX,28.1228,-96.8022,65.2150838,78.81284916,71.54469274
Vienna Mine ID US,ID,43.8,-114.85,30.66201117,48.67039106,38.70949721
MILO CALIFORNIA CA US,CA,36.2314,-118.8689,57.34916201,75.01117318,65.6424581
ENTERPRISE UTAH UT US,UT,37.5586,-113.7172,37.11173184,66.62290503,51.83240223
PINE HILL MONTANA MT US,MT,46.7769,-104.5797,35.97486034,61.04469274,48.27094972
ALDER POINT CALIFORNIA CA US,CA,40.1867,-123.5903,47.15642458,72.16759777,57.49162011
SCHOFIELD EAST HAWAII HI US,HI,21.4994,-157.9933,64.20192308,76.80288462,69.55769231
Kenai Moose Pens AK US,AK,60.73,-150.48,29.05681818,46.09375,37.75852273
SANTA CRUZ ISLAND CALIFORNIA CA US,CA,33.9958,-119.7222,52.5530086,74.9226361,62.53008596
ALPENA CO REGIONAL AIRPORT MI US,MI,45.0716,-83.5644,33.60055866,55.15642458,44.84078212
GRASSHOPPER CALIFORNIA CA US,CA,40.7817,-120.7844,35.31005587,60.36871508,46.84078212
Mountain Meadows ID US,ID,45.7,-115.23,24.4301676,53.75418994,38.40502793
MOON HILL OREGON OR US,OR,42.8597,-118.6706,36.81415929,57.51917404,46.91150442
Tony Grove RANGER STATION UT US,UT,41.89,-111.57,31.44134078,58.65921788,43.99441341
Swamp Creek WA US,WA,48.57,-120.78,34.6396648,54.34078212,43.09497207
Cooper Lake AK US,AK,60.39,-149.69,32.44475921,44.97733711,38.37677054
Bloody Dick MT US,MT,45.17,-113.5,27.76256983,51,38.65363128
EMPIRE ARIZONA AZ US,AZ,31.7806,-110.6347,46.56424581,75.36312849,60.62849162
CADDO TEXAS TX US,TX,33.7411,-95.9219,55.53943218,76.29968454,65.39432177
Brundage Reservoir ID US,ID,45.04,-116.13,30.7849162,52.86871508,41.34916201
